image_name,gt
train01/1750750088952_1_knob_0.jpeg,on
train01/1750750088952_1_knob_1.jpeg,on
train01/1750750088952_1_knob_2.jpeg,on
train01/1750836556752_0_knob_1.jpeg,on
train01/1750836556752_0_knob_2.jpeg,on
train01/1752556614330_2_knob_0.jpeg,off
train01/1752556965177_2_knob_1.jpeg,on
train01/1752556965177_2_knob_2.jpeg,on
train01/1752556965177_2_knob_3.jpeg,off
train01/1752556990181_2_knob_1.jpeg,on
train01/1752556990181_2_knob_2.jpeg,on
train01/1752560676023_2_knob_3.jpeg,on
train01/1752569542560_2_knob_0.jpeg,on
train01/1752569542560_2_knob_5.jpeg,on
train01/1754794693299_38_knob_1.jpeg,on
train01/1754824679225_38_knob_0.jpeg,off
train01/1754824679225_38_knob_1.jpeg,off
train01/1754824679225_38_knob_2.jpeg,off
train01/1754824815967_38_knob_0.jpeg,on
train01/1754824815967_38_knob_2.jpeg,on
train01/1754875863027_55_knob_0.jpeg,on
train01/1754875863027_55_knob_1.jpeg,on
train01/1754876741707_55_knob_0.jpeg,on
train01/1754877005705_55_knob_0.jpeg,就地
train01/1754883136111_53_knob_0.jpeg,off
train01/1754883136111_53_knob_3.jpeg,on
train01/1754883287587_53_knob_2.jpeg,off
train01/1754892760201_53_knob_2.jpeg,就地
train01/1754893190533_53_knob_0.jpeg,on
train01/1754893190533_53_knob_1.jpeg,on
train01/1754893190533_53_knob_2.jpeg,on
train01/1754902822492_55_knob_2.jpeg,off
train01/1754902822492_55_knob_4.jpeg,off
train01/1754904420972_55_knob_1.jpeg,on
train01/1754910061075_44_knob_0.jpeg,on
train01/1754910440605_44_knob_0.jpeg,on
train01/1754910440605_44_knob_1.jpeg,on
train01/1755000160241_53_knob_0.jpeg,on
train01/1755000160241_53_knob_1.jpeg,on
train01/1755045166647_44_knob_0.jpeg,on
train01/1755045166647_44_knob_1.jpeg,on
train01/1755045166647_44_knob_2.jpeg,off
train01/1755045372013_44_knob_0.jpeg,远方
train01/1755045460606_44_knob_0.jpeg,off
train01/1755045460606_44_knob_1.jpeg,off
train01/1755045460606_44_knob_2.jpeg,on
train01/1755133469698_44_knob_0.jpeg,off
train01/1755133469698_44_knob_1.jpeg,on
train01/1755133469698_44_knob_2.jpeg,on
train01/1755140235339_45_knob_2.jpeg,远方
train01/1755327340911_43_knob_1.jpeg,远方
train01/1755481546241_44_knob_0.jpeg,on
train01/1755481546241_44_knob_1.jpeg,on
